#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
7070	641531	Ortholog	877792	135789534
7070	641531	Ortholog	995702	136343283
7070	641531	Ortholog	1163345	130900621
7070	641531	Ortholog	1163346	130442449
7070	641531	Ortholog	1736056	136409995
7070	641531	Ortholog	2755281	135134865
7070	641531	Ortholog	2921223	126742086
7070	641533	Ortholog	41895	123008128
7070	641534	Ortholog	7048	115880471
7070	641534	Ortholog	7054	116171418
7070	641534	Ortholog	7067	138130467
7070	641534	Ortholog	7539	111513586
7070	641534	Ortholog	41139	123311535
7070	641534	Ortholog	41895	123013107
7070	641534	Ortholog	50390	114340233
7070	641534	Ortholog	77166	109535802
7070	641534	Ortholog	115357	123678566
7070	641534	Ortholog	116153	109603057
7070	641534	Ortholog	166361	111416544
7070	641534	Ortholog	197179	132696726
7070	641534	Ortholog	217634	108907721
7070	641534	Ortholog	224129	108742197
7070	641534	Ortholog	877792	135796068
7070	641534	Ortholog	995702	136343998
7070	641534	Ortholog	1163345	130902337
7070	641534	Ortholog	1163346	130453127
7070	641534	Ortholog	1736056	136419228
7070	641534	Ortholog	2755281	135133561
7070	641534	Ortholog	2921223	126744314
7070	641535	Ortholog	7048	115883909
7070	641535	Ortholog	7054	116166654
7070	641535	Ortholog	7067	138135791
7070	641535	Ortholog	7539	111505940
7070	641535	Ortholog	41139	123319059
7070	641535	Ortholog	41895	123006930
7070	641535	Ortholog	50390	114327657
7070	641535	Ortholog	77166	109538215
7070	641535	Ortholog	110193	108564647
7070	641535	Ortholog	115357	123680847
7070	641535	Ortholog	116153	109598888
7070	641535	Ortholog	197179	132700989
7070	641535	Ortholog	217634	108903544
7070	641535	Ortholog	995702	136345991
7070	641535	Ortholog	1163345	130896201
7070	641535	Ortholog	1163346	130442970
7070	641535	Ortholog	1736056	136410194
7070	641535	Ortholog	2755281	135129218
7070	641535	Ortholog	2921223	126735955
7070	641536	Ortholog	7054	116168163
7070	641536	Ortholog	7067	138132628
7070	641536	Ortholog	7539	111503552
7070	641536	Ortholog	41139	123309804
7070	641536	Ortholog	41895	123004774
7070	641536	Ortholog	110193	108567691
7070	641536	Ortholog	115357	123685172
7070	641536	Ortholog	116153	109599919
7070	641536	Ortholog	166361	111413310
7070	641536	Ortholog	197179	132704988
7070	641536	Ortholog	217634	108914782
7070	641536	Ortholog	224129	108742050
7070	641536	Ortholog	995702	136343472
7070	641536	Ortholog	1163345	130891168
7070	641536	Ortholog	1163346	130444114
7070	641536	Ortholog	1736056	136413093
7070	641536	Ortholog	2755281	135137384
7070	641536	Ortholog	2921223	126737817
7070	641545	Ortholog	7048	115883967
7070	641545	Ortholog	7067	138135793
7070	641545	Ortholog	7539	111507400
7070	641545	Ortholog	41895	123006928
7070	641545	Ortholog	50390	114327685
7070	641545	Ortholog	77166	109538211
7070	641545	Ortholog	110193	108559377
7070	641545	Ortholog	115357	123674946
7070	641545	Ortholog	116153	109597273
7070	641545	Ortholog	197179	132700707
7070	641545	Ortholog	217634	108903543
7070	641545	Ortholog	224129	108734876
7070	641545	Ortholog	877792	135790575
7070	641545	Ortholog	995702	136345990
7070	641545	Ortholog	1163345	130896290
7070	641545	Ortholog	1163346	130443129
7070	641545	Ortholog	1736056	136410158
7070	641545	Ortholog	2755281	135129216
7070	641545	Ortholog	2921223	126735974
7070	641547	Ortholog	7054	116167795
7070	641547	Ortholog	7067	138133374
7070	641547	Ortholog	41895	123005814
7070	641547	Ortholog	50390	114326577
7070	641547	Ortholog	77166	109534587
7070	641547	Ortholog	110193	108565974
7070	641547	Ortholog	115357	123685399
7070	641547	Ortholog	116153	109605425
7070	641547	Ortholog	166361	111415505
7070	641547	Ortholog	217634	108912010
